all,down,up
13,0,7
249,30,86
290,41,95
338,43,107
280,52,110
378,39,174
416,35,183
360,40,150
343,53,135
366,36,157
341,37,159
278,26,124
261,30,120
198,23,89
263,30,90
184,15,83
168,23,73
154,26,53
182,37,64
120,18,45
150,21,48
152,26,50
142,18,42
123,23,44
117,4,61
101,4,42
121,10,47
79,4,25
73,1,40
49,7,26
56,9,20
60,10,20
72,8,18
83,7,27
86,8,30
81,12,32
71,8,28
72,10,35
101,12,55
75,11,40
94,12,41
102,14,50
143,8,74
161,26,80
186,22,109
167,25,83
191,25,106
193,29,105
176,25,110
308,33,198
366,52,223
375,57,211
421,54,245
470,49,243
477,55,249
462,76,248
486,62,269
536,65,280
587,75,281
621,84,314
689,104,318
630,103,294
623,94,277
719,94,327
664,70,335
641,98,299
627,78,287
719,92,326
794,101,374
722,77,336
827,111,381
780,98,375
916,87,471
1096,152,545
1109,185,522
1084,170,498
1006,175,485
933,159,431
937,145,409
913,147,418
879,122,419
841,116,441
844,118,448
710,108,361
629,104,295
638,70,323
668,77,348
620,69,322
585,59,310
742,79,378
687,61,354
681,88,338
683,95,318
774,75,372
776,76,413
807,104,404
727,75,373
673,87,342
677,85,385
713,89,374
714,97,333
669,86,357
690,95,345
858,127,452
893,118,449
753,102,370
861,130,410
770,105,368
798,94,401
741,98,333
803,89,400
799,124,357
812,139,361
713,118,343
705,107,336
569,101,268
611,83,321
657,118,326
655,142,289
606,93,288
584,90,280
561,90,269
551,86,287
547,97,270
722,109,347
700,121,308
539,62,276
532,73,254
591,75,281
679,94,338
621,97,284
677,80,316
555,73,295
547,85,257
558,93,274
593,79,264
580,84,250
626,120,260
621,111,276
607,111,253
617,93,266
656,104,283
598,126,263
727,127,277
